color_space,hog_orient,hog_pix_per_cell,spatial_size,color_hist_bins,reduc_factor,C,gamma,kernel,accuracy,time to predict 100,training time,features vector length,performance
LUV,9,32,16,16,12,10,0.005,rbf,0.99184,0.010883,2.63683,77.0,61.00035
LUV,9,32,16,16,12,10,0.001,linear,0.9772,0.006715,31.26043,77.0,47.00314
LUV,9,32,16,16,12,10,0.001,rbf,0.98226,0.015106,3.47644,77.0,27.05039
LUV,9,32,16,16,16,1,0.005,linear,0.97354,0.00573,5.09864,57.0,45.65995
LUV,9,32,16,16,16,1,0.005,rbf,0.9848,0.016077,3.36742,57.0,28.91991
LUV,9,32,16,16,16,1,0.001,linear,0.97382,0.005674,5.01363,57.0,46.77838
LUV,9,32,16,16,16,1,0.001,rbf,0.96903,0.027157,5.5712,57.0,7.63799
LUV,9,32,16,16,16,5,0.005,linear,0.97354,0.005519,13.71522,57.0,47.4056
LUV,9,32,16,16,16,5,0.005,rbf,0.99043,0.010136,2.19027,57.0,60.999
LUV,9,32,16,16,16,5,0.001,linear,0.97241,0.005871,14.77686,57.0,42.0493
LUV,9,32,16,16,16,5,0.001,rbf,0.97523,0.01543,3.40093,57.0,18.49212
LUV,9,32,16,16,16,10,0.005,linear,0.97354,0.00573,23.0689,57.0,45.65995
LUV,9,32,16,16,16,10,0.005,rbf,0.99155,0.008306,1.92874,57.0,78.76604
LUV,9,32,16,16,16,10,0.001,linear,0.97325,0.005645,23.10241,57.0,45.66218
LUV,9,32,16,16,16,10,0.001,rbf,0.97804,0.012628,2.76385,57.0,26.09133
LUV,19,16,16,16,8,1,0.005,linear,0.98902,0.014515,18.37131,358.0,39.66767
LUV,19,16,16,16,8,1,0.005,rbf,0.98958,0.337585,173.60434,358.0,1.75454
LUV,19,16,16,16,8,1,0.001,linear,0.98986,0.014726,20.78761,358.0,40.79472
LUV,19,16,16,16,8,1,0.001,rbf,0.99127,0.137517,25.34819,358.0,4.69074
LUV,19,16,16,16,8,5,0.005,linear,0.98508,0.013726,19.60647,358.0,34.35825
LUV,19,16,16,16,8,5,0.005,rbf,0.98986,0.33467,155.94711,358.0,1.79503
LUV,19,16,16,16,8,5,0.001,linear,0.98564,0.013923,22.35581,358.0,34.84843
LUV,19,16,16,16,8,5,0.001,rbf,0.9955,0.080232,17.17016,358.0,9.94754
LUV,19,16,16,16,8,10,0.005,linear,0.98874,0.014585,17.45069,358.0,38.92232
LUV,19,16,16,16,8,10,0.005,rbf,0.98958,0.323535,152.74071,358.0,1.83073
LUV,19,16,16,16,8,10,0.001,linear,0.98874,0.013543,20.01402,358.0,41.91701
LUV,19,16,16,16,8,10,0.001,rbf,0.99493,0.078909,17.04314,358.0,9.82878
LUV,19,16,16,16,12,1,0.005,linear,0.9924,0.009925,12.18403,239.0,68.80298
LUV,19,16,16,16,12,1,0.005,rbf,0.99578,0.117216,26.28531,239.0,6.90531
LUV,19,16,16,16,12,1,0.001,linear,0.99155,0.009587,14.23379,239.0,68.24145
LUV,19,16,16,16,12,1,0.001,rbf,0.99099,0.072757,15.46695,239.0,8.74156
LUV,19,16,16,16,12,5,0.005,linear,0.99071,0.007701,15.61196,239.0,81.42921
LUV,19,16,16,16,12,5,0.005,rbf,0.9969,0.116245,37.26619,239.0,7.36556
LUV,19,16,16,16,12,5,0.001,linear,0.99296,0.007968,24.49508,239.0,88.15326
